RANGE                                  SIZE  STATE REMOVABLE     BLOCK
0x0000003758000000-0x000000375fffffff  128M online        no      1771
0x0000003760000000-0x0000003767ffffff  128M online       yes      1772
0x0000003768000000-0x000000376fffffff  128M online        no      1773
0x0000003770000000-0x0000003777ffffff  128M online       yes      1774
0x0000003778000000-0x000000377fffffff  128M online        no      1775
0x0000003780000000-0x0000003787ffffff  128M online       yes      1776
0x0000003788000000-0x000000378fffffff  128M online        no      1777
0x0000003790000000-0x00000037a7ffffff  384M online       yes 1778-1780
0x00000037a8000000-0x00000037afffffff  128M online        no      1781
0x00000037b0000000-0x00000037b7ffffff  128M online       yes      1782
0x00000037b8000000-0x00000037bfffffff  128M online        no      1783
0x00000037c0000000-0x00000037cfffffff  256M online       yes 1784-1785
0x00000037d0000000-0x00000037efffffff  512M online        no 1786-1789
0x00000037f0000000-0x00000037f7ffffff  128M online       yes      1790
0x00000037f8000000-0x000000383fffffff  1.1G online        no 1791-1799
0x0000003840000000-0x0000003847ffffff  128M online       yes      1800
0x0000003848000000-0x0000003887ffffff    1G online        no 1801-1808
0x0000003888000000-0x0000003c27ffffff 14.5G online       yes 1809-1924
0x0000003c28000000-0x0000003c2fffffff  128M online        no      1925
0x0000003c30000000-0x0000003c47ffffff  384M online       yes 1926-1928
0x0000003c48000000-0x0000003c57ffffff  256M online        no 1929-1930
0x0000003c58000000-0x0000003c7fffffff  640M online       yes 1931-1935
0x0000003c80000000-0x0000003c8fffffff  256M online        no 1936-1937
0x0000003c90000000-0x0000003cafffffff  512M online       yes 1938-1941
0x0000003cb0000000-0x0000003cbfffffff  256M online        no 1942-1943
0x0000003cc0000000-0x0000003ccfffffff  256M online       yes 1944-1945
0x0000003cd0000000-0x0000003cd7ffffff  128M online        no      1946
0x0000003cd8000000-0x0000003ce7ffffff  256M online       yes 1947-1948
0x0000003ce8000000-0x0000003cefffffff  128M online        no      1949
0x0000003cf0000000-0x0000003d07ffffff  384M online       yes 1950-1952
